stock,sector
CGCL,Financial Services
CGPOWER,Capital Goods
CHALET,Consumer Services
CHAMBLFERT,Chemicals
CHEMPLASTS,Chemicals
CHENNPETRO,Oil Gas & Consumable Fuels
CHOLAFIN,Financial Services
CHOLAHLDNG,Financial Services
CIEINDIA,Automobile and Auto Components
CIPLA,Healthcare
CLEAN,Chemicals
COALINDIA,Oil Gas & Consumable Fuels
COCHINSHIP,Capital Goods
COFORGE,Information Technology
COLPAL,Fast Moving Consumer Goods
CONCOR,Services
COROMANDEL,Chemicals
CRAFTSMAN,Automobile and Auto Components
CREDITACC,Financial Services
CRISIL,Financial Services
CROMPTON,Consumer Durables
CUB,Financial Services
CUMMINSIND,Capital Goods
CYIENT,Information Technology
DABUR,Fast Moving Consumer Goods
DALBHARAT,Construction Materials
DATAPATTNS,Capital Goods
DBREALTY,Realty
DEEPAKFERT,Chemicals
DEEPAKNTR,Chemicals
DEVYANI,Consumer Services
DIVISLAB,Healthcare
DIXON,Consumer Durables
DLF,Realty
DMART,Consumer Services
DRREDDY,Healthcare
EASEMYTRIP,Consumer Services
ECLERX,Services
EICHERMOT,Automobile and Auto Components
EIDPARRY,Chemicals
EIHOTEL,Consumer Services
ELECON,Capital Goods
ELGIEQUIP,Capital Goods
EMAMILTD,Fast Moving Consumer Goods
ENDURANCE,Automobile and Auto Components
ENGINERSIN,Construction
EQUITASBNK,Financial Services
ERIS,Healthcare
ESCORTS,Capital Goods
EXIDEIND,Automobile and Auto Components
FACT,Chemicals
FEDERALBNK,Financial Services
FINCABLES,Capital Goods
FINEORG,Chemicals
FINPIPE,Capital Goods
FLUOROCHEM,Chemicals
FORTIS,Healthcare
FSL,Services
GAEL,Fast Moving Consumer Goods
GAIL,Oil Gas & Consumable Fuels
GESHIP,Services
GICRE,Financial Services
GILLETTE,Fast Moving Consumer Goods
GLAND,Healthcare
GLAXO,Healthcare
GLENMARK,Healthcare
GMDCLTD,Metals & Mining
GMRAIRPORT,Services
GNFC,Chemicals
GODFRYPHLP,Fast Moving Consumer Goods
GODREJAGRO,Fast Moving Consumer Goods
GODREJCP,Fast Moving Consumer Goods
GODREJPROP,Realty
GPIL,Capital Goods
GPPL,Services
GRANULES,Healthcare
GRAPHITE,Capital Goods
GRASIM,Construction Materials
GRINDWELL,Capital Goods
GRINFRA,Construction
GRSE,Capital Goods
GSFC,Chemicals
GSPL,Oil Gas & Consumable Fuels
GUJGASLTD,Oil Gas & Consumable Fuels
GVT&D,Capital Goods
HAL,Capital Goods
HAPPSTMNDS,Information Technology
HAVELLS,Consumer Durables
HCLTECH,Information Technology
HDFCAMC,Financial Services
HDFCBANK,Financial Services
HDFCLIFE,Financial Services
HEG,Capital Goods
HEROMOTOCO,Automobile and Auto Components
HFCL,Telecommunication
HINDALCO,Metals & Mining
HINDCOPPER,Metals & Mining
HINDPETRO,Oil Gas & Consumable Fuels
HINDUNILVR,Fast Moving Consumer Goods
HINDZINC,Metals & Mining
HOMEFIRST,Financial Services
HONAUT,Capital Goods
HSCL,Chemicals
HUDCO,Financial Services
ICICIBANK,Financial Services
ICICIGI,Financial Services
ICICIPRULI,Financial Services
IDBI,Financial Services
IDEA,Telecommunication
IDFCFIRSTB,Financial Services
IEX,Financial Services
IFCI,Financial Services
IGL,Oil Gas & Consumable Fuels
IIFL,Financial Services
INDHOTEL,Consumer Services
INDIACEM,Construction Materials
INDIAMART,Consumer Services
INDIANB,Financial Services
INDIGO,Services
INDUSINDBK,Financial Services
INDUSTOWER,Telecommunication
INFY,Information Technology
INOXWIND,Capital Goods
INTELLECT,Information Technology
IOB,Financial Services
IOC,Oil Gas & Consumable Fuels
IPCALAB,Healthcare
IRB,Construction
IRCON,Construction
IRCTC,Consumer Services
IRFC,Financial Services
ISEC,Financial Services
ITC,Fast Moving Consumer Goods
ITI,Telecommunication
J&KBANK,Financial Services
JBCHEPHARM,Healthcare
JBMA,Automobile and Auto Components
JINDALSAW,Capital Goods
JINDALSTEL,Metals & Mining
JKCEMENT,Construction Materials
JKLAKSHMI,Construction Materials
JKTYRE,Automobile and Auto Components
JMFINANCIL,Financial Services
JPPOWER,Power
JSL,Metals & Mining
JSWENERGY,Power
JSWSTEEL,Metals & Mining
JUBLFOOD,Consumer Services
JUBLINGREA,Chemicals
JUBLPHARMA,Healthcare
JUSTDIAL,Consumer Services
JWL,Capital Goods
JYOTHYLAB,Fast Moving Consumer Goods
KAJARIACER,Consumer Durables
KALYANKJIL,Consumer Durables
KANSAINER,Consumer Durables
KARURVYSYA,Financial Services
KEC,Construction
KEI,Capital Goods
KIMS,Healthcare
KIRLOSBROS,Capital Goods
KIRLOSENG,Capital Goods
KNRCON,Construction
KOTAKBANK,Financial Services
KPITTECH,Information Technology
KPRMILL,Textiles
KSB,Capital Goods
LALPATHLAB,Healthcare
LATENTVIEW,Information Technology
LAURUSLABS,Healthcare
LEMONTREE,Consumer Services
LICHSGFIN,Financial Services
LINDEINDIA,Chemicals
LODHA,Realty
LT,Construction
LTF,Financial Services
LTIM,Information Technology
LTTS,Information Technology
LUPIN,Healthcare
M&M,Automobile and Auto Components
M&MFIN,Financial Services
MAHABANK,Financial Services
MAHLIFE,Realty
MAHSEAMLES,Capital Goods
MANAPPURAM,Financial Services
MAPMYINDIA,Information Technology
MARICO,Fast Moving Consumer Goods
MARUTI,Automobile and Auto Components
MASTEK,Information Technology
MAXHEALTH,Healthcare
MAZDOCK,Capital Goods
MCX,Financial Services
METROBRAND,Consumer Durables
METROPOLIS,Healthcare
MFSL,Financial Services
MGL,Oil Gas & Consumable Fuels
MINDACORP,Automobile and Auto Components
MMTC,Services
MOTHERSON,Automobile and Auto Components
MOTILALOFS,Financial Services
MPHASIS,Information Technology
MRF,Automobile and Auto Components
MRPL,Oil Gas & Consumable Fuels
MUTHOOTFIN,Financial Services
NAM-INDIA,Financial Services
NATCOPHARM,Healthcare
NATIONALUM,Metals & Mining
NAUKRI,Consumer Services
NAVINFLUOR,Chemicals
NBCC,Construction
NCC,Construction
NESTLEIND,Fast Moving Consumer Goods
NETWORK18,Media Entertainment & Publication
NEWGEN,Information Technology
NH,Healthcare
NHPC,Power
NIACL,Financial Services
NLCINDIA,Power
NMDC,Metals & Mining
NTPC,Power
NUVOCO,Construction Materials
NYKAA,Consumer Services
OBEROIRLTY,Realty
OFSS,Information Technology
OIL,Oil Gas & Consumable Fuels
OLECTRA,Automobile and Auto Components
ONGC,Oil Gas & Consumable Fuels
PAGEIND,Textiles
PATANJALI,Fast Moving Consumer Goods
PAYTM,Financial Services
PCBL,Chemicals
PEL,Financial Services
PERSISTENT,Information Technology
PETRONET,Oil Gas & Consumable Fuels
PFC,Financial Services
PFIZER,Healthcare
PGHH,Fast Moving Consumer Goods
PIDILITIND,Chemicals
PIIND,Chemicals
PNB,Financial Services
PNBHOUSING,Financial Services
PNCINFRA,Construction
POLICYBZR,Financial Services
POLYCAB,Capital Goods
POLYMED,Healthcare
POONAWALLA,Financial Services
POWERGRID,Power
POWERINDIA,Capital Goods
PRAJIND,Capital Goods
PRESTIGE,Realty
QUESS,Services
RADICO,Fast Moving Consumer Goods
RAILTEL,Telecommunication
RAJESHEXPO,Consumer Durables
RAMCOCEM,Construction Materials
RATNAMANI,Capital Goods
RAYMOND,Realty
RBLBANK,Financial Services
RCF,Chemicals
RECLTD,Financial Services
REDINGTON,Services
RELIANCE,Oil Gas & Consumable Fuels
RENUKA,Fast Moving Consumer Goods
RHIM,Capital Goods
RITES,Construction
RKFORGE,Automobile and Auto Components
ROUTE,Telecommunication
RTNINDIA,Consumer Services
RVNL,Construction
SAIL,Metals & Mining
SAMMAANCAP,Financial Services
SANOFI,Healthcare
SAPPHIRE,Consumer Services
SAREGAMA,Media Entertainment & Publication
SBICARD,Financial Services
SBILIFE,Financial Services
SBIN,Financial Services
SCHAEFFLER,Automobile and Auto Components
SCHNEIDER,Capital Goods
SCI,Services
SHREECEM,Construction Materials
SHRIRAMFIN,Financial Services
SHYAMMETL,Capital Goods
SIEMENS,Capital Goods
SJVN,Power
SKFINDIA,Capital Goods
SOBHA,Realty
SOLARINDS,Chemicals
SONACOMS,Automobile and Auto Components
SONATSOFTW,Information Technology
SPARC,Healthcare
SRF,Chemicals
STARHEALTH,Financial Services
SUMICHEM,Chemicals
SUNDARMFIN,Financial Services
SUNDRMFAST,Automobile and Auto Components
SUNPHARMA,Healthcare
SUNTV,Media Entertainment & Publication
SUPREMEIND,Capital Goods
SUVENPHAR,Healthcare
SUZLON,Capital Goods
SWSOLAR,Construction
SYNGENE,Healthcare
TANLA,Information Technology
TATACHEM,Chemicals
TATACOMM,Telecommunication
TATACONSUM,Fast Moving Consumer Goods
TATAELXSI,Information Technology
TATAINVEST,Financial Services
TATAMOTORS,Automobile and Auto Components
TATAPOWER,Power
TATASTEEL,Metals & Mining
TCS,Information Technology
TECHM,Information Technology
TECHNOE,Construction
TEJASNET,Telecommunication
THERMAX,Capital Goods
TIINDIA,Automobile and Auto Components
TIMKEN,Capital Goods
TITAGARH,Capital Goods
TITAN,Consumer Durables
TORNTPHARM,Healthcare
TORNTPOWER,Power
TRENT,Consumer Services
TRIDENT,Textiles
TRITURBINE,Capital Goods
TRIVENI,Fast Moving Consumer Goods
TTML,Telecommunication
TVSMOTOR,Automobile and Auto Components
UBL,Fast Moving Consumer Goods
UCOBANK,Financial Services
UJJIVANSFB,Financial Services
ULTRACEMCO,Construction Materials
UNIONBANK,Financial Services
UNOMINDA,Automobile and Auto Components
UPL,Chemicals
USHAMART,Capital Goods
UTIAMC,Financial Services
VARROC,Automobile and Auto Components
VBL,Fast Moving Consumer Goods
VEDL,Metals & Mining
VGUARD,Consumer Durables
VIJAYA,Healthcare
VINATIORGA,Chemicals
VIPIND,Consumer Durables
VOLTAS,Consumer Durables
VTL,Textiles
WELCORP,Capital Goods
WELSPUNLIV,Textiles
WESTLIFE,Consumer Services
WHIRLPOOL,Consumer Durables
WIPRO,Information Technology
YESBANK,Financial Services
ZEEL,Media Entertainment & Publication
ZENSARTECH,Information Technology
ZFCVINDIA,Automobile and Auto Components
ZOMATO,Consumer Services
ZYDUSLIFE,Healthcare
